s,v,o,label
Ba người,nâng,ly bia trên sân thượng vào buổi tối,1
Nhóm bạn trẻ,cụng,ly bia và cười lớn trong quán bar,1
Người đàn ông,uống,rượu vang đỏ trước logo thương hiệu,1
Ly bia bọt,tràn,trên bàn tiệc và mọi người cổ vũ,1
Nam thanh niên,rót,bia vào ly giữa đám đông tiệc tùng,1
Hai cô gái,khoác,vai nhau nâng chai bia chụp hình quảng cáo,1
Quảng cáo,cho thấy,một bàn đầy chai rượu mạnh và tiếng cười phấn khích,1
Nam MC nói,uống,mỗi ngày để tận hưởng cuộc sống trọn vẹn,1
Một người đàn ông,nằm gục,trên bàn với nhiều lon bia rỗng xung quanh,1
Ba người đàn ông vừa lái xe vừa,cầm,lon bia trên tay,1
Cặp đôi,cụng,ly champagne và nháy mắt với máy quay,1
Bạn bè,tụ tập,trên sân thượng và cùng uống rượu vang trắng,1
Quảng cáo,hiển thị,chai rượu với khẩu hiệu sống hết mình đêm nay,1
Hai chàng trai vừa chơi game vừa,uống,bia lon cạnh logo thương hiệu,1
Người phụ nữ,nâng,ly cocktail đầy cồn và nói chạm mốc đỉnh cao,1
Đám đông,nhảy,nhót trong club với tay cầm các chai bia sáng nhãn hiệu rõ ràng,1
Quảng cáo,quay,cảnh tiệc hồ bơi với gái xinh cầm bia trên tay,1
Nhân vật chính khuyên hãy mở bia này để,giải tỏa,stress cuối ngày,1
Logo thương hiệu bia,xuất hiện,cạnh cảnh mọi người vừa uống vừa lái mô tô,1
Người dẫn chương trình nói đây,là,loại rượu mạnh số một cho đàn ông thực thụ,1
Hai người đàn ông,xô,đẩy và đánh nhau giành một sản phẩm khuyến mãi,1
Người đàn ông,tát,thẳng mặt bạn mình trong quảng cáo nước hoa để gây hài,1
Hai thanh niên đang,vật lộn,trên sàn siêu thị trước kệ hàng giảm giá,1
Cảnh,quay,cận một cú đấm vào mặt kèm tiếng hiệu ứng mạnh,1
Người đàn ông cầm gậy,đe dọa,người khác trong khung hình quảng cáo,1
Nhóm thanh niên,rượt đuổi,nhau ngoài đường với thái độ gây hấn,1
Nam chính,đấm,vào tường và la hét để thể hiện sức mạnh thương hiệu,1
Người cha ném đồ,vật,và mắng chửi to tiếng với gia đình để quảng cáo dịch vụ tư vấn,1
Thanh niên đạp xe bạt mạng lạng lách giữa phố để quảng cáo đồ,uống,năng lượng,1
Quảng cáo,mô tả,cảnh hai người đập bể chai thủy tinh rồi cười khoái chí,1
Nhân vật,cầm,dao chặt mạnh xuống thớt với hiệu ứng nguy hiểm để gây ấn tượng,1
Hai đấu sĩ,,"nắm cổ áo nhau và gào thét, quay chậm để nhấn drama",1
Cảnh phá cửa,xông vào,phòng và quăng người xuống ghế để giới thiệu sản phẩm bảo vệ,1
Diễn viên lao vào,xô,người khác ngã xuống đất trong đoạn quảng cáo cường điệu,1
Người đàn ông,đập,bàn thật mạnh và chỉ tay dọa nạt đồng nghiệp,1
Quảng cáo,mô tả,cảnh đua xe trái phép tốc độ cao giữa đêm,1
Nhân,vật,dùng cú đá xoay trúng mặt đối thủ trong siêu thị để giành hộp hàng cuối cùng,1
Đoạn,quay,slow motion nắm đấm máu bắn tung tóe để tạo cảm giác mạnh,1
Nhân vật,chĩa,vật nhọn vào camera như đe dọa người xem,1
Hai đứa trẻ,ném,đồ chơi vào nhau và hét ầm ĩ được dựng như tình huống hài,1
Cô gái mặc bikini đỏ,tạo dáng,gợi cảm dựa vào thân xe hơi màu đen,1
Người mẫu,nằm,"trên giường với ánh đèn mờ, môi đỏ và áo ngủ hở vai",1
Cảnh,quay,tập trung vào cơ thể người phụ nữ trong bộ váy cắt xẻ sâu,1
Cô gái khẽ,liếm,môi khi cầm chai nước hoa sát cổ,1
Người mẫu uốn người chậm rãi dưới ánh đèn club khi cầm lon đồ,uống,,1
